accX	accY	accZ	time	state
0.9960183	0.409421	10.024829	1567954074597	none
1.4772675	0.38787252	9.873989	1567954074712	none
1.0774237	0.47167215	9.742304	1567954074832	none
1.0941836	0.2681588	9.692024	1567954074950	none
0.9888355	0.26097596	9.814133	1567954075067	none
1.0822122	0.46927786	9.852441	1567954075181	none
1.4868447	0.5985687	9.98652	1567954075294	none
1.1947432	0.6201172	10.077502	1567954075410	none
1.3120626	0.5985687	9.857229	1567954075531	none
1.0079896	0.7853221	9.859624	1567954075646	none
1.4485363	0.9122187	9.538791	1567954075760	none
0.82123625	0.6560313	9.474146	1567954075877	none
0.65842557	0.54828894	10.012857	1567954075994	none
0.5818088	0.4860378	9.996098	1567954076108	none
0.3040729	0.5698374	9.47654	1567954076223	none
0.45012367	0.6560313	10.146936	1567954076338	none
0.5243462	0.56744313	9.96976	1567954076454	none
0.3615355	0.7206767	9.771035	1567954076577	none
0.51955765	0.5458947	9.905115	1567954076690	none
0.43096948	0.6392714	9.80695	1567954076808	none
0.50040346	0.32562137	9.895537	1567954076922	none
0.38068968	0.2753416	9.993703	1567954077038	none
0.45491222	0.0670397	9.814133	1567954077154	none
0.7206767	0.19154198	9.890749	1567954077270	none
0.8044763	-0.1699935	9.3280945	1567954077384	none
0.679974	0.009577099	9.725544	1567954077500	none
0.5506832	0.2466103	9.79019	1567954077614	none
0.82123625	0.37350687	9.577099	1567954077729	none
0.6488485	0.25858167	9.5794935	1567954077837	none
0.8044763	0.36871833	9.687236	1567954077951	none
0.9385557	0.32083282	10.376787	1567954078067	none
1.0534809	0.2944958	10.1541195	1567954078181	none
0.91700727	0.34956414	9.955395	1567954078299	none
0.7948992	0.42378664	9.684841	1567954078413	none
0.81165916	0.44054657	9.964972	1567954078528	none
1.0702409	0.37590113	9.423865	1567954078648	none
1.1013664	0.37829542	9.60583	1567954078761	none
1.0726352	0.4764607	10.118205	1567954078876	none
1.0534809	0.6560313	9.794978	1567954078991	none
0.81165916	0.72785956	9.802161	1567954079106	none
0.8044763	0.8044763	10.161303	1567954079221	none
0.8284191	0.9768641	9.847652	1567954079338	none
0.6943397	0.9720756	9.787795	1567954079456	none
0.85236186	0.7206767	9.893144	1567954079571	none
0.80687064	0.7446195	9.826104	1567954079686	none
0.9433443	0.77574503	10.039194	1567954079802	none
1.2354459	0.84278476	9.926663	1567954079919	none
1.1396748	0.7877164	9.895537	1567954080035	none
1.2498114	0.70870537	9.938635	1567954080144	none
1.3407938	0.7326481	9.955395	1567954080258	none
1.3479767	0.6943397	9.962578	1567954080375	none
1.2857256	0.7350424	10.029617	1567954080492	none
1.5059988	0.6153286	9.77343	1567954080606	none
0.79250497	0.7206767	10.041589	1567954080722	none
1.0726352	0.6464542	10.486923	1567954080836	none
1.3647367	0.29210153	10.867614	1567954080954	none
1.8483802	-0.06943397	10.544386	1567954081071	none
2.0231621	0.14365649	9.79019	1567954081188	none
2.3416007	0.32083282	9.624985	1567954081302	none
2.0159793	0.43096948	9.450203	1567954081422	none
1.7047237	0.600963	9.917087	1567954081537	none
1.6592325	0.5770202	9.529214	1567954081650	none
1.5443072	0.31604427	9.29218	1567954081767	none
1.5610672	0.4070267	9.462174	1567954081881	none
1.951334	0.4189981	9.675264	1567954081996	none
1.4437478	0.723071	9.826104	1567954082111	none
1.3527653	0.49800915	10.190034	1567954082225	none
1.472479	0.531529	9.775824	1567954082341	none
1.3264283	0.49800915	9.553157	1567954082457	none
1.5921928	0.7350424	9.373586	1567954082572	none
1.3743137	0.8284191	10.328901	1567954082687	none
1.3814965	0.7805336	9.624985	1567954082803	none
1.1947432	1.0439038	9.624985	1567954082921	none
1.3551595	1.0774237	9.5794935	1567954083035	none
1.2809371	1.1731946	9.962578	1567954083152	none
1.350371	0.7996878	10.221159	1567954083268	none
1.1253091	0.81165916	9.632168	1567954083384	none
1.1037607	0.9888355	9.953	1567954083501	none
1.1923488	1.1253091	10.130177	1567954083622	none
1.1468576	0.845179	9.873989	1567954083738	none
1.2067145	0.90503585	9.692024	1567954083854	none
1.3096683	0.75180227	9.785401	1567954083975	none
1.2091088	0.9577099	10.08708	1567954084091	none
1.2258687	0.8379962	10.187639	1567954084205	none
1.2761484	0.7805336	9.900327	1567954084321	none
1.2234744	0.7446195	9.845258	1567954084436	none
1.3719195	0.65124273	9.428655	1567954084551	none
1.1013664	0.73743665	9.3280945	1567954084667	none
1.2809371	0.6177229	9.538791	1567954084784	none
1.1923488	0.7302538	9.771035	1567954084900	none
1.089395	0.7829279	9.687236	1567954085016	none
1.3407938	0.7326481	10.046377	1567954085132	none
1.1444633	0.69912827	9.859624	1567954085246	none
1.3623424	0.6847626	9.189227	1567954085363	none
1.2569942	0.6943397	9.407105	1567954085477	none
1.1516461	0.71828246	9.708784	1567954085593	none
1.185166	0.845179	10.125388	1567954085699	none
1.185166	0.80208206	10.134965	1567954085804	none
