gyrX	gyrY	gyrZ	time	state
0.040285338	-0.05861069	0.12865616	1567954237121	none
0.12275215	-0.22598776	-0.063155524	1567954237225	none
-0.12709174	0.014082276	-0.10713782	1567954237330	none
0.09404148	-0.018904448	0.11155193	1567954237436	none
0.021959383	0.14114225	0.041913297	1567954237541	none
-0.030575028	-0.23331815	-0.19632414	1567954237646	none
0.0036334265	0.061729766	0.059017524	1567954237752	none
-0.14297423	-0.025623964	0.11033021	1567954237859	none
-0.011638205	-0.11481029	-0.06620985	1567954237963	none
-0.15030462	0.08005573	0.061460983	1567954238070	none
0.036009286	0.15030523	-0.018562363	1567954238174	none
0.113589175	-0.13374712	0.070623964	1567954238280	none
0.061665628	0.013471412	-0.020394959	1567954238384	none
-0.04462493	0.06539496	0.050465412	1567954238487	none
0.024402846	0.1191511	0.008926574	1567954238594	none
-0.11059837	0.08188832	-0.106526956	1567954238699	none
-0.21994326	0.08433178	-0.0460513	1567954238807	none
-0.18145874	0.10082514	0.11338453	1567954238914	none
-0.0055295518	0.16191167	0.10727588	1567954239019	none
0.014629001	-0.35060427	-0.25985414	1567954239125	none
0.05067005	0.121594556	0.061460983	1567954239228	none
-0.0061404174	-0.09587347	-0.03566659	1567954239334	none
-0.0036969564	0.122816294	-0.035055727	1567954239438	none
-0.09105069	0.111209854	-0.04727303	1567954239545	none
0.014018136	0.3353974	0.019922148	1567954239650	none
0.14046724	0.12342715	0.03519378	1567954239754	none
-0.14297423	0.044014674	0.07978694	1567954239859	none
-0.08249857	-0.15757087	-0.14684407	1567954239962	none
0.064719945	-0.0970952	0.03763724	1567954240066	none
-0.037294544	0.067838416	-0.07781629	1567954240171	none
-0.13930903	0.10571206	0.06756964	1567954240275	none
-0.29019275	0.016525738	0.0260308	1567954240381	none
-0.06111829	-0.23148555	-0.009399383	1567954240485	none
0.014018136	-0.034786943	-0.04849476	1567954240589	none
0.30784434	-0.20277488	0.15064731	1567954240694	none
0.26325116	0.026910447	0.11888231	1567954240798	none
0.02623544	-0.17345336	0.08406299	1567954240904	none
-0.14602856	0.27125654	0.03946984	1567954241008	none
-3.176499E-5	-0.64809567	-0.32032982	1567954241112	none
-0.18329133	0.50827223	0.365061	1567954241217	none
-0.12648088	-0.06594107	-0.15906137	1567954241323	none
-0.20039557	-0.012795795	-0.03688832	1567954241430	none
0.084878504	-0.28096563	0.08161954	1567954241537	none
0.03417669	0.17473984	0.18546663	1567954241643	none
0.3805373	-0.5063749	-0.03566659	1567954241753	none
0.3573244	0.22849597	-0.11507907	1567954241874	none
0.01218554	-0.18933585	0.20440346	1567954241991	none
0.018294193	0.27308914	0.3369612	1567954242108	none
-0.16313279	-0.2797439	-0.1462332	1567954242222	none
0.070217736	-0.26997006	0.13781914	1567954242326	none
0.17589743	-0.1429101	0.13965173	1567954242431	none
0.10992398	-0.24248113	-0.028336206	1567954242536	none
0.10931311	0.16618773	0.13843001	1567954242640	none
0.078769855	-0.12886019	-0.019173227	1567954242744	none
0.17467569	-0.048836846	0.019922148	1567954242847	none
0.16245839	0.05256679	0.06756964	1567954242952	none
-0.05623137	0.08311005	-0.11324648	1567954243056	none
-0.0061404174	0.36960584	0.07856521	1567954243161	none
-0.17962614	0.048901595	-0.10530523	1567954243266	none
-0.1399199	-0.04700425	0.013202631	1567954243371	none
-0.032407623	0.042792942	0.030306859	1567954243476	none
-0.1295352	-0.02867829	0.08894992	1567954243580	none
-0.0030860913	0.012860546	-0.011842845	1567954243684	none
0.08548937	-0.09281915	0.07123482	1567954243790	none
0.06899601	0.09899255	0.09750204	1567954243895	none
0.08854369	-0.30417854	-0.12912896	1567954244001	none
0.13985637	0.36105374	0.11582799	1567954244105	none
-0.2608712	0.12953581	-0.09980744	1567954244209	none
-0.08799636	-0.13496885	0.010759169	1567954244314	none
-0.09838107	0.12892494	-0.024671014	1567954244417	none
-0.07822252	-0.004854546	-0.10713782	1567954244522	none
0.028678901	0.13930964	-0.004512462	1567954244626	none
0.058611296	-0.009741468	0.010148304	1567954244731	none
0.06777427	0.037295155	-0.08881187	1567954244837	none
0.10686965	-0.14657529	0.04313503	1567954244943	none
-0.0067512826	0.19917443	-0.0069559226	1567954245049	none
0.05067005	-0.04761511	-0.0026798658	1567954245155	none
-0.04706839	-0.10198212	0.064515315	1567954245259	none
0.0867111	0.13930964	0.03336118	1567954245363	none
